protein_accession,method,lcr_start,lcr_end,pfam_accession,pfam_name,domain_start,domain_end,overlap_length,lcr_domain_fraction,domain_lcr_fraction,is_domain_edge
Q8TEX9,fLPS_strict,62,71,PF03810,IBN_N,24,88,10,1.0,0.1538,False
Q8TEX9,fLPS_strict,34,58,PF03810,IBN_N,24,88,25,1.0,0.3846,True
P22626,fLPS_strict,202,298,PF11627,HnRNPA1_LC,296,334,3,0.0309,0.0769,True
P22626,fLPS_strict,319,349,PF11627,HnRNPA1_LC,296,334,16,0.5161,0.4103,True
P22626,fLPS_strict,289,320,PF11627,HnRNPA1_LC,296,334,25,0.7812,0.641,True
P22626,fLPS_strict,202,349,PF11627,HnRNPA1_LC,296,334,39,0.2635,1.0,True
Q7KZF4,fLPS_strict,647,677,PF00565,SNase,553,659,13,0.4194,0.1215,True
Q7KZF4,fLPS_strict,573,599,PF00565,SNase,553,659,27,1.0,0.2523,False
Q7KZF4,fLPS_strict,306,327,PF00565,SNase,220,327,22,1.0,0.2037,True
Q7KZF4,fLPS_strict,647,677,PF00565,SNase,553,659,13,0.4194,0.1215,True
Q8NHU6,fLPS_strict,692,714,PF00567,TUDOR,650,774,23,1.0,0.184,False
Q8NI27,fLPS_strict,923,928,PF11262,Tho2,873,1173,6,1.0,0.0199,False
Q86UA1,fLPS_strict,125,135,PF05843,Suf,83,237,11,1.0,0.071,False
Q86UA1,fLPS_strict,458,467,PF05843,Suf,346,540,10,1.0,0.0513,False
Q13283,fLPS_strict,90,94,PF02136,NTF2,11,133,5,1.0,0.0407,False
Q9HAU5,fLPS_strict,1025,1094,PF04050,Upf2,1094,1218,1,0.0143,0.008,True
Q9HAU5,fLPS_strict,1181,1237,PF04050,Upf2,1094,1218,38,0.6667,0.304,True
Q9HAU5,fLPS_strict,1157,1161,PF04050,Upf2,1094,1218,5,1.0,0.04,False
Q9HAU5,fLPS_strict,695,699,PF02854,MIF4G,571,758,5,1.0,0.0266,False
Q9HAU5,fLPS_strict,757,770,PF02854,MIF4G,571,758,2,0.1429,0.0106,True
P62854,fLPS_strict,97,114,PF01283,Ribosomal_S26e,1,104,8,0.4444,0.0769,True
P62854,fLPS_strict,85,102,PF01283,Ribosomal_S26e,1,104,18,1.0,0.1731,True
P62854,fLPS_strict,85,114,PF01283,Ribosomal_S26e,1,104,20,0.6667,0.1923,True
P62854,fLPS_strict,5,29,PF01283,Ribosomal_S26e,1,104,25,1.0,0.2404,True
P18583,fLPS_strict,2306,2325,PF01585,G-patch,2305,2348,20,1.0,0.4545,True
P26599,fLPS_strict,342,349,PF13893,RRM_5,338,459,8,1.0,0.0656,True
P26599,fLPS_strict,145,178,PF13893,RRM_5,166,263,13,0.3824,0.1327,True
P26599,fLPS_strict,538,547,PF00076,RRM_1,484,544,7,0.7,0.1148,True
Q32P51,fLPS_strict,195,306,PF11627,HnRNPA1_LC,255,292,38,0.3393,1.0,True
Q32P51,fLPS_strict,245,280,PF11627,HnRNPA1_LC,255,292,26,0.7222,0.6842,True
Q32P51,fLPS_strict,195,306,PF11627,HnRNPA1_LC,255,292,38,0.3393,1.0,True
Q9UL40,fLPS_strict,68,79,PF12874,zf-met,74,97,6,0.5,0.25,True
Q9UL40,fLPS_strict,135,139,PF12874,zf-met,135,158,5,1.0,0.2083,True
Q9H4L7,fLPS_strict,891,895,PF00271,Helicase_C,855,967,5,1.0,0.0442,False
Q9H4L7,fLPS_strict,648,672,PF04851,ResIII,495,660,13,0.52,0.0783,True
Q9H4L7,fLPS_strict,648,672,PF00270,DEAD,518,660,13,0.52,0.0909,True
Q9UGY1,fLPS_strict,47,84,PF09805,Nop25,20,97,38,1.0,0.4872,False
Q9UGY1,fLPS_strict,3,28,PF09805,Nop25,20,97,9,0.3462,0.1154,True
B0QYY4,fLPS_strict,239,245,PF12414,Fox-1_C,231,290,7,1.0,0.1167,True
Q9UN86,fLPS_strict,90,94,PF02136,NTF2,11,133,5,1.0,0.0407,False
Q9UN86,fLPS_strict,62,83,PF02136,NTF2,11,133,22,1.0,0.1789,False
P62495,fLPS_strict,405,411,PF03465,eRF1_3,280,417,7,1.0,0.0507,True
Q9BZE4,fLPS_strict,367,399,PF08155,NOGCT,395,446,5,0.1515,0.0962,True
Q9BZE4,fLPS_strict,367,404,PF08155,NOGCT,395,446,10,0.2632,0.1923,True
P55884,fLPS_strict,672,684,PF08662,eIF2A,507,702,13,1.0,0.0663,False
Q12905,fLPS_strict,3,22,PF07528,DZF_N,22,216,1,0.05,0.0051,True
Q12905,fLPS_strict,2,24,PF07528,DZF_N,22,216,3,0.1304,0.0154,True
Q12905,fLPS_strict,19,48,PF07528,DZF_N,22,216,27,0.9,0.1385,True
Q9UPR3,fLPS_strict,253,285,PF10373,EST1_DNA_bind,197,396,33,1.0,0.165,False
Q9UPR3,fLPS_strict,338,344,PF10373,EST1_DNA_bind,197,396,7,1.0,0.035,False
P62891,fLPS_strict,41,46,PF00832,Ribosomal_L39,9,49,6,1.0,0.1463,True
P07814,fLPS_strict,1331,1346,PF03129,HGTP_anticodon,1303,1403,16,1.0,0.1584,False
Q9Y3B9,fLPS_strict,98,138,PF07890,Rrp15p,92,215,41,1.0,0.3306,True
Q9H0U6,fLPS_strict,63,85,PF00861,Ribosomal_L18p,76,147,10,0.4348,0.1389,True
Q9H0U6,fLPS_strict,63,89,PF00861,Ribosomal_L18p,76,147,14,0.5185,0.1944,True
Q9UPN6,fLPS_strict,397,459,PF06495,Transformer,397,467,63,1.0,0.8873,True
Q9UPN6,fLPS_strict,398,448,PF06495,Transformer,397,467,51,1.0,0.7183,True
Q9UPN6,fLPS_strict,397,455,PF06495,Transformer,397,467,59,1.0,0.831,True
Q7Z2T5,fLPS_strict,431,444,PF02005,TRM,242,563,14,1.0,0.0435,False
Q7Z2T5,fLPS_strict,462,468,PF02005,TRM,242,563,7,1.0,0.0217,False
Q08211,fLPS_strict,761,784,PF00271,Helicase_C,637,768,8,0.3333,0.0606,True
Q05823,fLPS_strict,677,684,PF06479,Ribonuc_2-5A,592,719,8,1.0,0.0625,False
Q5JPI9,fLPS_strict,197,212,PF13847,Methyltransf_31,81,213,16,1.0,0.1203,True
Q9BW92,fLPS_strict,258,267,PF07973,tRNA_SAD,229,276,10,1.0,0.2083,True
Q9BW92,fLPS_strict,655,659,PF03129,HGTP_anticodon,615,705,5,1.0,0.0549,False
Q9BW92,fLPS_strict,443,447,PF00587,tRNA-synt_2b,399,602,5,1.0,0.0245,False
H9KV63,fLPS_strict,708,722,PF00567,TUDOR,712,831,11,0.7333,0.0917,True
Q9UNY4,fLPS_strict,1068,1086,PF00271,Helicase_C,996,1106,19,1.0,0.1712,False
Q9UNY4,fLPS_strict,614,624,PF04851,ResIII,570,769,11,1.0,0.055,False
Q9UNY4,fLPS_strict,614,624,PF00270,DEAD,591,746,11,1.0,0.0705,False
O75940,fLPS_strict,91,100,PF06003,SMN_Tudor,72,122,10,1.0,0.1961,False
Q9UHI6,fLPS_strict,133,155,PF00270,DEAD,86,250,23,1.0,0.1394,False
Q9UHI6,fLPS_strict,133,155,PF04851,ResIII,102,247,23,1.0,0.1575,False
Q96IP4,fLPS_strict,105,119,PF07984,NTP_transf_7,66,384,15,1.0,0.047,False
Q14690,fLPS_strict,794,822,PF00575,S1,730,798,5,0.1724,0.0725,True
Q14690,fLPS_strict,591,596,PF00575,S1,547,610,6,1.0,0.0938,False
Q5T5C7,fLPS_strict,55,71,PF02403,Seryl_tRNA_N,2,76,17,1.0,0.2267,True
Q5T5C7,fLPS_strict,44,49,PF02403,Seryl_tRNA_N,2,76,6,1.0,0.08,False
Q5T5C7,fLPS_strict,404,409,PF00587,tRNA-synt_2b,259,421,6,1.0,0.0368,False
A0A0A0MRM9,fLPS_strict,672,687,PF05022,SRP40_C,633,705,16,1.0,0.2192,False
A0A0A0MRM9,fLPS_strict,639,643,PF05022,SRP40_C,633,705,5,1.0,0.0685,True
Q5VTL8,fLPS_strict,108,123,PF03371,PRP38,48,229,16,1.0,0.0879,False
O75607,fLPS_strict,81,85,PF03066,Nucleoplasmin,37,139,5,1.0,0.0485,False
O00442,fLPS_strict,245,249,PF01137,RTC,13,337,5,1.0,0.0154,False
O00442,fLPS_strict,245,249,PF05189,RTC_insert,184,285,5,1.0,0.049,False
Q9NUP7,fLPS_strict,391,413,PF05206,TRM13,165,469,23,1.0,0.0754,False
Q9NUP7,fLPS_strict,335,340,PF05206,TRM13,165,469,6,1.0,0.0197,False
Q9NUP7,fLPS_strict,335,344,PF05206,TRM13,165,469,10,1.0,0.0328,False
Q9UKA9,fLPS_strict,315,324,PF13893,RRM_5,321,434,4,0.4,0.0351,True
P46777,fLPS_strict,255,284,PF14204,Ribosomal_L18_c,236,289,30,1.0,0.5556,True
P46777,fLPS_strict,20,24,PF17144,Ribosomal_L5e,14,176,5,1.0,0.0307,True
P46777,fLPS_strict,235,239,PF14204,Ribosomal_L18_c,236,289,4,0.8,0.0741,True
Q9NXZ2,fLPS_strict,96,100,PF00013,KH_1,76,129,5,1.0,0.0926,False
Q9NXZ2,fLPS_strict,83,104,PF00013,KH_1,76,129,22,1.0,0.4074,True
Q06787,fLPS_strict,529,552,PF12235,FXMRP1_C_core,420,542,14,0.5833,0.1138,True
Q06787,fLPS_strict,522,572,PF12235,FXMRP1_C_core,420,542,21,0.4118,0.1707,True
Q06787,fLPS_strict,466,491,PF12235,FXMRP1_C_core,420,542,26,1.0,0.2114,False
Q06787,fLPS_strict,471,484,PF12235,FXMRP1_C_core,420,542,14,1.0,0.1138,False
Q06787,fLPS_strict,319,331,PF00013,KH_1,285,331,13,1.0,0.2766,True
Q06787,fLPS_strict,519,523,PF12235,FXMRP1_C_core,420,542,5,1.0,0.0407,False
Q06787,fLPS_strict,527,572,PF12235,FXMRP1_C_core,420,542,16,0.3478,0.1301,True
Q06787,fLPS_strict,466,487,PF12235,FXMRP1_C_core,420,542,22,1.0,0.1789,False
Q8NC51,fLPS_strict,256,292,PF04774,HABP4_PAI-RBP1,189,313,37,1.0,0.296,False
Q8NC51,fLPS_strict,155,195,PF04774,HABP4_PAI-RBP1,189,313,7,0.1707,0.056,True
Q8NC51,fLPS_strict,197,208,PF04774,HABP4_PAI-RBP1,189,313,12,1.0,0.096,True
Q8NC51,fLPS_strict,163,191,PF04774,HABP4_PAI-RBP1,189,313,3,0.1034,0.024,True
Q7L3T8,fLPS_strict,186,202,PF00587,tRNA-synt_2b,144,353,17,1.0,0.081,False
Q8IXM3,fLPS_strict,9,36,PF09809,MRP-L27,13,127,24,0.8571,0.2087,True
Q8IXM3,fLPS_strict,9,49,PF09809,MRP-L27,13,127,37,0.9024,0.3217,True
Q99459,fLPS_strict,496,506,PF11831,Myb_Cef,404,654,11,1.0,0.0438,False
O95793,fLPS_strict,232,274,PF00035,dsrm,186,249,18,0.4186,0.2812,True
O95793,fLPS_strict,113,124,PF00035,dsrm,103,160,12,1.0,0.2069,True
O95793,fLPS_strict,147,156,PF00035,dsrm,103,160,10,1.0,0.1724,True
O95793,fLPS_strict,232,279,PF00035,dsrm,186,249,18,0.375,0.2812,True
O95793,fLPS_strict,88,127,PF00035,dsrm,103,160,25,0.625,0.431,True
Q9GZR2,fLPS_strict,341,358,PF00929,RNase_T,245,394,18,1.0,0.12,False
Q96GM8,fLPS_strict,336,347,PF04857,CAF1,169,451,12,1.0,0.0424,False
Q96GM8,fLPS_strict,31,39,PF04857,CAF1,39,166,1,0.1111,0.0078,True
O94829,fLPS_strict,164,173,PF08389,Xpo1,117,262,10,1.0,0.0685,False
Q14249,fLPS_strict,34,61,PF01223,Endonuclease_NS,61,281,1,0.0357,0.0045,True
Q14249,fLPS_strict,88,116,PF01223,Endonuclease_NS,61,281,29,1.0,0.1312,False
Q14249,fLPS_strict,41,73,PF01223,Endonuclease_NS,61,281,13,0.3939,0.0588,True
Q14249,fLPS_strict,86,119,PF01223,Endonuclease_NS,61,281,34,1.0,0.1538,False
Q9H3H1,fLPS_strict,211,217,PF01715,IPPT,58,331,7,1.0,0.0255,False
Q9UNP9,fLPS_strict,57,63,PF00076,RRM_1,8,78,7,1.0,0.0986,False
P55795,fLPS_strict,214,261,PF08080,zf-RNPHF,255,290,7,0.1458,0.1944,True
P55795,fLPS_strict,60,66,PF28441,RRM_11,13,98,7,1.0,0.0814,False
P55795,fLPS_strict,60,66,PF00076,RRM_1,14,81,7,1.0,0.1029,False
P55795,fLPS_strict,206,256,PF08080,zf-RNPHF,255,290,2,0.0392,0.0556,True
Q13310,fLPS_strict,619,642,PF00658,MLLE,558,623,5,0.2083,0.0758,True
Q9Y3A2,fLPS_strict,33,61,PF03998,Utp11,13,253,29,1.0,0.1203,False
Q9Y3A2,fLPS_strict,210,236,PF03998,Utp11,13,253,27,1.0,0.112,False
Q9Y3A2,fLPS_strict,2,19,PF03998,Utp11,13,253,7,0.3889,0.029,True
Q12874,fLPS_strict,109,134,PF16837,SF3A3,129,178,6,0.2308,0.12,True
Q12874,fLPS_strict,476,480,PF11931,SF3a60_Prp9_C,382,501,5,1.0,0.0417,False
Q86U90,fLPS_strict,55,105,PF01300,Sua5_yciO_yrdC,77,255,29,0.5686,0.162,True
Q8TD26,fLPS_strict,822,844,PF00271,Helicase_C,789,897,23,1.0,0.211,False
P54577,fLPS_strict,242,247,PF00579,tRNA-synt_1b,32,321,6,1.0,0.0207,False
Q08170,fLPS_strict,168,258,PF00076,RRM_1,106,171,4,0.044,0.0606,True
Q08170,fLPS_strict,43,50,PF00076,RRM_1,4,64,8,1.0,0.1311,False
Q9NX07,fLPS_strict,185,225,PF17654,Trnau1ap,186,284,40,0.9756,0.404,True
Q9NX07,fLPS_strict,195,211,PF17654,Trnau1ap,186,284,17,1.0,0.1717,True
Q9NX07,fLPS_strict,185,227,PF17654,Trnau1ap,186,284,42,0.9767,0.4242,True
P62906,fLPS_strict,91,106,PF00687,Ribosomal_L1,24,211,16,1.0,0.0851,False
O43172,fLPS_strict,129,134,PF08799,PRP4,108,135,6,1.0,0.2143,True
Q14692,fLPS_strict,190,203,PF00009,GTP_EFTU,138,213,14,1.0,0.1842,True
O43390,fLPS_strict,398,405,PF13893,RRM_5,337,415,8,1.0,0.1013,True
O43390,fLPS_strict,398,405,PF00076,RRM_1,343,404,7,0.875,0.1129,True
O43390,fLPS_strict,314,342,PF13893,RRM_5,337,415,6,0.2069,0.0759,True
Q09161,fLPS_strict,530,534,PF09090,MIF4G_like_2,485,759,5,1.0,0.0182,False
Q09161,fLPS_strict,748,760,PF09090,MIF4G_like_2,485,759,12,0.9231,0.0436,True
Q09161,fLPS_strict,675,685,PF09090,MIF4G_like_2,485,759,11,1.0,0.04,False
Q09161,fLPS_strict,428,433,PF09088,MIF4G_like,326,470,6,1.0,0.0414,False
Q09161,fLPS_strict,668,685,PF09090,MIF4G_like_2,485,759,18,1.0,0.0655,False
Q09161,fLPS_strict,647,665,PF09090,MIF4G_like_2,485,759,19,1.0,0.0691,False
Q969E8,fLPS_strict,2,29,PF10273,WGG,12,91,18,0.6429,0.225,True
Q9UKD2,fLPS_strict,3,23,PF00466,Ribosomal_L10,21,119,3,0.1429,0.0303,True
Q5JVS0,fLPS_strict,257,295,PF04774,HABP4_PAI-RBP1,212,315,39,1.0,0.375,False
Q5JVS0,fLPS_strict,175,218,PF04774,HABP4_PAI-RBP1,212,315,7,0.1591,0.0673,True
Q6BEB4,fLPS_strict,370,384,PF00096,zf-C2H2,356,378,9,0.6,0.3913,True
Q9H1J1,fLPS_strict,155,167,PF03467,Smg4_UPF3,68,225,13,1.0,0.0823,False
Q9H1J1,fLPS_strict,172,208,PF03467,Smg4_UPF3,68,225,37,1.0,0.2342,False
J3KPD3,fLPS_strict,3,8,PF13893,RRM_5,2,84,6,1.0,0.0723,True
J3KPD3,fLPS_strict,38,50,PF13893,RRM_5,2,84,13,1.0,0.1566,False
J3KPD3,fLPS_strict,38,50,PF00076,RRM_1,12,81,13,1.0,0.1857,False
Q96T58,fLPS_strict,543,547,PF00076,RRM_1,520,583,5,1.0,0.0781,False
Q96T21,fLPS_strict,662,690,PF01248,Ribosomal_L7Ae,660,757,29,1.0,0.2959,True
Q96T21,fLPS_strict,666,690,PF01248,Ribosomal_L7Ae,660,757,25,1.0,0.2551,True
P61978,fLPS_strict,2,30,PF08067,ROKNT,1,43,29,1.0,0.6744,True
P61978,fLPS_strict,87,105,PF00013,KH_1,45,104,18,0.9474,0.3,True
P61978,fLPS_strict,402,444,PF00013,KH_1,389,452,43,1.0,0.6719,True
P61978,fLPS_strict,441,457,PF00013,KH_1,389,452,12,0.7059,0.1875,True
P61978,fLPS_strict,402,457,PF00013,KH_1,389,452,51,0.9107,0.7969,True
P98179,fLPS_strict,34,38,PF00076,RRM_1,8,78,5,1.0,0.0704,False
P05388,fLPS_strict,267,296,PF00428,Ribosomal_60s,231,316,30,1.0,0.3488,False
P05388,fLPS_strict,299,309,PF00428,Ribosomal_60s,231,316,11,1.0,0.1279,True
P05388,fLPS_strict,40,61,PF00466,Ribosomal_L10,8,103,22,1.0,0.2292,False
Q9H4T2,fLPS_strict,278,286,PF00096,zf-C2H2,264,286,9,1.0,0.3913,True
Q5SY16,fLPS_strict,416,426,PF16575,CLP1_P,306,438,11,1.0,0.0827,False
Q9Y2L1,fLPS_strict,692,696,PF00773,RNB,467,793,5,1.0,0.0153,False
Q9Y2L1,fLPS_strict,46,68,PF13638,PIN_4,68,193,1,0.0435,0.0079,True
Q99633,fLPS_strict,81,110,PF08799,PRP4,84,111,27,0.9,0.9643,True
O60293,fLPS_strict,1184,1199,PF10650,zf-C3H1,1185,1204,15,0.9375,0.75,True
Q8WU68,fLPS_strict,73,98,PF00076,RRM_1,87,140,12,0.4615,0.2222,True
Q8WU68,fLPS_strict,154,169,PF00642,zf-CCCH,150,174,16,1.0,0.64,True
Q8N0Z8,fLPS_strict,87,91,PF01416,PseudoU_synth_1,19,122,5,1.0,0.0481,False
Q8N0Z8,fLPS_strict,187,218,PF01416,PseudoU_synth_1,168,284,32,1.0,0.2735,False
Q9UHK0,fLPS_strict,256,265,PF10453,NUFIP1,216,267,10,1.0,0.1923,True
Q86TM3,fLPS_strict,237,263,PF00270,DEAD,246,416,18,0.6667,0.1053,True
Q86TM3,fLPS_strict,237,263,PF04851,ResIII,261,397,3,0.1111,0.0219,True
O60870,fLPS_strict,166,201,PF10357,WH_KIN17,59,177,12,0.3333,0.1008,True
O60870,fLPS_strict,156,160,PF10357,WH_KIN17,59,177,5,1.0,0.042,False
O60870,fLPS_strict,64,88,PF10357,WH_KIN17,59,177,25,1.0,0.2101,True
O95373,fLPS_strict,78,118,PF03810,IBN_N,22,101,24,0.5854,0.3,True
O95373,fLPS_strict,78,120,PF03810,IBN_N,22,101,24,0.5581,0.3,True
A0A0A0MRW7,fLPS_strict,166,191,PF11969,DcpS_C,168,272,24,0.9231,0.2286,True
A0A0A0MRW7,fLPS_strict,245,256,PF11969,DcpS_C,168,272,12,1.0,0.1143,False
Q9BRS2,fLPS_strict,348,352,PF01163,RIO1,193,380,5,1.0,0.0266,False
O95786,fLPS_strict,796,814,PF11648,RIG-I_C-RD,807,923,8,0.4211,0.0684,True
O95786,fLPS_strict,796,818,PF11648,RIG-I_C-RD,807,923,12,0.5217,0.1026,True
Q96I25,fLPS_strict,317,331,PF00076,RRM_1,328,383,4,0.2667,0.0714,True
Q12926,fLPS_strict,7,44,PF00076,RRM_1,41,111,4,0.1053,0.0563,True
Q01081,fLPS_strict,73,98,PF00076,RRM_1,91,141,8,0.3077,0.1569,True
Q01081,fLPS_strict,154,169,PF00642,zf-CCCH,150,174,16,1.0,0.64,True
Q9BYN8,fLPS_strict,114,141,PF14943,MRP-S26,28,196,28,1.0,0.1657,False
Q9BYN8,fLPS_strict,126,151,PF14943,MRP-S26,28,196,26,1.0,0.1538,False
Q9BYN8,fLPS_strict,110,163,PF14943,MRP-S26,28,196,54,1.0,0.3195,False
P62753,fLPS_strict,72,98,PF01092,Ribosomal_S6e,1,126,27,1.0,0.2143,False
Q9H5H4,fLPS_strict,237,273,PF00096,zf-C2H2,263,283,11,0.2973,0.5238,True
Q9H5H4,fLPS_strict,503,507,PF00096,zf-C2H2,485,507,5,1.0,0.2174,True
Q9H5H4,fLPS_strict,237,273,PF00096,zf-C2H2,263,283,11,0.2973,0.5238,True
Q9NWH9,fLPS_strict,343,393,PF13893,RRM_5,368,479,26,0.5098,0.2321,True
Q9NWH9,fLPS_strict,343,393,PF00076,RRM_1,386,455,8,0.1569,0.1143,True
Q9NWH9,fLPS_strict,477,510,PF13893,RRM_5,368,479,3,0.0882,0.0268,True
Q9NWH9,fLPS_strict,459,486,PF13893,RRM_5,368,479,21,0.75,0.1875,True
Q9NWH9,fLPS_strict,339,396,PF13893,RRM_5,368,479,29,0.5,0.2589,True
Q9NWH9,fLPS_strict,339,396,PF00076,RRM_1,386,455,11,0.1897,0.1571,True
Q9NWH9,fLPS_strict,456,527,PF13893,RRM_5,368,479,24,0.3333,0.2143,True
Q9NWZ8,fLPS_strict,119,156,PF15348,GEMIN8,14,242,38,1.0,0.1659,False
Q9NWZ8,fLPS_strict,152,159,PF15348,GEMIN8,14,242,8,1.0,0.0349,False
Q9NWZ8,fLPS_strict,18,39,PF15348,GEMIN8,14,242,22,1.0,0.0961,True
Q9NWZ8,fLPS_strict,119,159,PF15348,GEMIN8,14,242,41,1.0,0.179,False
Q9NWZ8,fLPS_strict,89,104,PF15348,GEMIN8,14,242,16,1.0,0.0699,False
Q8WV60,fLPS_strict,80,101,PF10037,MRP-S27,39,215,22,1.0,0.1243,False
O00567,fLPS_strict,248,290,PF01798,Nop,174,406,43,1.0,0.1845,False
O00567,fLPS_strict,244,290,PF01798,Nop,174,406,47,1.0,0.2017,False
Q9NS39,fLPS_strict,174,178,PF00035,dsrm,134,187,5,1.0,0.0926,True
Q9NS39,fLPS_strict,590,601,PF02137,A_deamin,408,729,12,1.0,0.0373,False
Q8NE18,fLPS_strict,416,421,PF01189,Methyltr_RsmB-F,308,456,6,1.0,0.0403,False
P46087,fLPS_strict,553,568,PF01189,Methyltr_RsmB-F,377,585,16,1.0,0.0766,False
O60287,fLPS_strict,338,347,PF11707,Npa1,78,393,10,1.0,0.0316,False
O43148,fLPS_strict,277,287,PF03291,mRNA_G-N7_MeTrfase,137,475,11,1.0,0.0324,False
O43148,fLPS_strict,277,287,PF13847,Methyltransf_31,196,334,11,1.0,0.0791,False
O43148,fLPS_strict,190,218,PF03291,mRNA_G-N7_MeTrfase,137,475,29,1.0,0.0855,False
O43148,fLPS_strict,190,218,PF13847,Methyltransf_31,196,334,23,0.7931,0.1655,True
O60231,fLPS_strict,789,808,PF04408,WHD_HA2,792,820,17,0.85,0.5862,True
Q96M93,fLPS_strict,381,386,PF02137,A_deamin,249,568,6,1.0,0.0187,False
Q9HCE5,fLPS_strict,305,334,PF05063,MT-A70,186,362,30,1.0,0.1695,False
Q6ZN19,fLPS_strict,381,391,PF00096,zf-C2H2,369,391,11,1.0,0.4783,True
Q6ZN19,fLPS_strict,303,307,PF00096,zf-C2H2,285,307,5,1.0,0.2174,True
Q14444,fLPS_strict,537,593,PF12287,Caprin-1_C,359,685,57,1.0,0.1743,False
Q14444,fLPS_strict,609,638,PF12287,Caprin-1_C,359,685,30,1.0,0.0917,False
Q14444,fLPS_strict,677,692,PF12287,Caprin-1_C,359,685,9,0.5625,0.0275,True
Q14444,fLPS_strict,394,433,PF12287,Caprin-1_C,359,685,40,1.0,0.1223,False
Q14444,fLPS_strict,676,701,PF12287,Caprin-1_C,359,685,10,0.3846,0.0306,True
Q14444,fLPS_strict,354,367,PF12287,Caprin-1_C,359,685,9,0.6429,0.0275,True
Q8N5X7,fLPS_strict,4,48,PF01652,IF4E,48,216,1,0.0222,0.0059,True
Q8N5X7,fLPS_strict,161,190,PF01652,IF4E,48,216,30,1.0,0.1775,False
Q8N5X7,fLPS_strict,211,215,PF01652,IF4E,48,216,5,1.0,0.0296,True
P40429,fLPS_strict,32,36,PF00572,Ribosomal_L13,6,110,5,1.0,0.0476,False
Q9BUJ2,fLPS_strict,28,73,PF02037,SAP,3,38,11,0.2391,0.3056,True
Q9BUJ2,fLPS_strict,38,67,PF02037,SAP,3,38,1,0.0333,0.0278,True
Q969W8,fLPS_strict,210,221,PF00096,zf-C2H2,199,221,12,1.0,0.5217,True
Q969W8,fLPS_strict,385,389,PF00096,zf-C2H2,367,389,5,1.0,0.2174,True
Q9NYF8,fLPS_strict,3,145,PF15440,THRAP3_BCLAF1,108,761,38,0.2657,0.0581,True
Q9NYF8,fLPS_strict,102,156,PF15440,THRAP3_BCLAF1,108,761,49,0.8909,0.0749,True
Q9NYF8,fLPS_strict,205,300,PF15440,THRAP3_BCLAF1,108,761,96,1.0,0.1468,False
Q9NYF8,fLPS_strict,749,763,PF15440,THRAP3_BCLAF1,108,761,13,0.8667,0.0199,True
Q9NYF8,fLPS_strict,223,236,PF15440,THRAP3_BCLAF1,108,761,14,1.0,0.0214,False
Q9NYF8,fLPS_strict,687,721,PF15440,THRAP3_BCLAF1,108,761,35,1.0,0.0535,False
Q9NYF8,fLPS_strict,722,743,PF15440,THRAP3_BCLAF1,108,761,22,1.0,0.0336,False
Q9NYF8,fLPS_strict,3,161,PF15440,THRAP3_BCLAF1,108,761,54,0.3396,0.0826,True
Q9NYF8,fLPS_strict,205,301,PF15440,THRAP3_BCLAF1,108,761,97,1.0,0.1483,False
Q9NYF8,fLPS_strict,687,721,PF15440,THRAP3_BCLAF1,108,761,35,1.0,0.0535,False
Q66PJ3,fLPS_strict,74,98,PF10500,SR-25,7,235,25,1.0,0.1092,False
Q66PJ3,fLPS_strict,102,128,PF10500,SR-25,7,235,27,1.0,0.1179,False
Q66PJ3,fLPS_strict,7,34,PF10500,SR-25,7,235,28,1.0,0.1223,True
Q66PJ3,fLPS_strict,69,73,PF10500,SR-25,7,235,5,1.0,0.0218,False
Q66PJ3,fLPS_strict,23,30,PF10500,SR-25,7,235,8,1.0,0.0349,False
Q66PJ3,fLPS_strict,6,30,PF10500,SR-25,7,235,24,0.96,0.1048,True
Q9HD33,fLPS_strict,149,198,PF06984,MRP-L47,64,149,1,0.02,0.0116,True
P55010,fLPS_strict,384,402,PF02020,W2,311,390,7,0.3684,0.0875,True
Q9UIF8,fLPS_strict,736,765,PF01429,MBD,740,812,26,0.8667,0.3562,True
Q9Y291,fLPS_strict,83,106,PF08293,MRP-S33,7,96,14,0.5833,0.1556,True
J3KPP4,fLPS_strict,235,374,PF03194,LUC7,4,245,11,0.0786,0.0455,True
J3KPP4,fLPS_strict,228,282,PF03194,LUC7,4,245,18,0.3273,0.0744,True
J3KPP4,fLPS_strict,98,102,PF03194,LUC7,4,245,5,1.0,0.0207,False
J3KPP4,fLPS_strict,144,170,PF03194,LUC7,4,245,27,1.0,0.1116,False
J3KPP4,fLPS_strict,228,410,PF03194,LUC7,4,245,18,0.0984,0.0744,True
Q9ULR0,fLPS_strict,174,229,PF06246,Isy1,1,266,56,1.0,0.2105,False
Q9ULR0,fLPS_strict,140,144,PF06246,Isy1,1,266,5,1.0,0.0188,False
P31943,fLPS_strict,214,261,PF08080,zf-RNPHF,255,290,7,0.1458,0.1944,True
P31943,fLPS_strict,206,256,PF08080,zf-RNPHF,255,290,2,0.0392,0.0556,True
X6RAY8,fLPS_strict,122,157,PF00573,Ribosomal_L4,81,245,36,1.0,0.2182,False
Q8IY21,fLPS_strict,810,814,PF00270,DEAD,768,924,5,1.0,0.0318,False
Q8IY21,fLPS_strict,810,814,PF04851,ResIII,776,922,5,1.0,0.034,False
Q8TE96,fLPS_strict,445,460,PF04408,WHD_HA2,442,470,16,1.0,0.5517,True
