uniprot_accession,uniprot_length,rnaprimaryclass,method,cluster_pam_k2,cluster_hierarchical_k2,cluster_pam_k3,cluster_hierarchical_k3,cluster_pam_k4,cluster_hierarchical_k4,cluster_pam_k5,cluster_hierarchical_k5,cluster_pam_k6,cluster_hierarchical_k6,cluster_pam_k7,cluster_hierarchical_k7,cluster_pam_k8,cluster_hierarchical_k8,cluster_pam_k9,cluster_hierarchical_k9,cluster_pam_k10,cluster_hierarchical_k10,cluster_hdbscan,hdbscan_confidence
Q6ZRY4,209.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,2,4,2,5,2,6,2,0.9874143530945892
Q86TB9,770.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,6,5,6,6,6,7,6,8,-1,0.0
P62314,119.0,snRNA,LCRFinder,0,2,0,2,3,3,3,3,0,4,5,4,5,4,3,5,3,6,-1,0.0
Q05481,1191.0,unknown,LCRFinder,1,2,1,2,1,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q2NL82,804.0,pre-rRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,6,5,6,6,6,7,6,8,-1,0.0
Q15287,305.0,mRNA,LCRFinder,1,2,1,2,3,3,3,3,0,3,3,3,3,3,8,4,8,4,-1,0.0
Q1KMD3,747.0,mRNA,LCRFinder,1,2,1,2,3,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
P51608,486.0,mRNA,LCRFinder,1,2,1,2,3,3,1,3,1,4,3,4,3,4,3,5,3,6,-1,0.0
Q93091,150.0,diverse,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
A0A499FIA3,238.0,unknown,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,2,4,2,5,4,6,2,0.8383606967915274
P12724,160.0,diverse,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
P17480,764.0,pre-rRNA,LCRFinder,1,2,2,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q96QU8,1125.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
Q9UQ80,394.0,pre-rRNA,LCRFinder,0,2,2,2,2,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
P46781,194.0,ribosomal protein,LCRFinder,0,2,2,2,3,3,3,3,3,4,5,4,5,4,5,5,5,6,-1,0.0
Q15696,482.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,3,1,3,1,3,8,4,8,4,-1,0.0
Q7Z570,1209.0,unknown,LCRFinder,0,2,0,2,3,3,4,3,4,4,3,4,3,4,3,5,3,6,-1,0.0
P10153,161.0,diverse,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
P17039,623.0,unknown,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
O75526,392.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q9BRZ2,755.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,3,4,1,5,1,6,1,7,1,8,-1,0.0
Q16637,294.0,snRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,3,4,3,5,0,6,2,0.6410260249693615
Q9BRJ7,211.0,snoRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
O60294,686.0,tRNA,LCRFinder,0,2,0,2,0,3,3,3,4,4,5,4,5,4,6,5,6,6,-1,0.0
Q9NZJ5,1116.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,6,5,2,6,2,7,4,8,-1,0.0
Q16600,458.0,unknown,LCRFinder,0,2,0,2,0,3,3,3,5,3,5,3,0,3,5,4,5,5,-1,0.0
P26368,475.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
F5H0R1,912.0,snRNA,LCRFinder,1,2,1,2,3,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q7L2J0,689.0,ncRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q6L8Q7,609.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,2,0.6399991286031791
Q9BWF3,364.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
O14746,1132.0,ncRNA,LCRFinder,0,2,0,2,3,3,3,3,4,4,3,4,3,4,3,5,3,6,-1,0.0
Q969S3,477.0,unknown,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q32MZ4,808.0,ncRNA,LCRFinder,1,2,1,2,1,3,3,3,3,3,5,3,5,3,1,4,1,5,-1,0.0
Q9UL03,887.0,snRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
O43290,800.0,snRNA,LCRFinder,1,2,1,2,3,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q9BQ04,359.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
Q8WW27,367.0,mRNA,LCRFinder,1,2,2,2,2,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q9BUQ8,820.0,snRNA,LCRFinder,1,2,1,2,2,3,3,3,3,3,6,3,6,3,8,4,8,4,-1,0.0
O15446,510.0,pre-rRNA,LCRFinder,1,2,1,2,3,3,3,3,5,4,5,4,5,4,5,5,5,6,-1,0.0
Q8IY37,1157.0,snoRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q8TDE3,154.0,diverse,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
Q12972,351.0,diverse,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
Q96PK6,669.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q96G46,650.0,tRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,2,4,2,5,4,6,2,0.6662873058110403
Q00341,1268.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,5,4,4,4,7,4,7,5,7,6,-1,0.0
P52594,562.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q9UHB9,627.0,ncRNA,LCRFinder,0,2,0,2,3,3,3,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q8N5Y2,521.0,ncRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q86YN6,1023.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q53GS9,565.0,snRNA,LCRFinder,1,2,1,2,1,3,1,3,5,3,1,3,1,3,5,4,5,5,-1,0.0
Q14103,355.0,mRNA,LCRFinder,0,2,0,2,3,3,4,3,4,4,3,5,3,6,3,7,3,8,-1,0.0
Q969Y2,492.0,tRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,2,0.729870643534587
Q07666,443.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,3,4,3,4,3,4,3,5,3,6,-1,0.0
Q13064,507.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,3,4,6,5,0,6,0,7,2,8,-1,0.0
Q8NBJ9,832.0,ncRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
Q13151,305.0,mRNA,LCRFinder,0,2,0,2,3,3,4,3,4,4,0,4,3,4,3,5,0,6,-1,0.0
Q5ST30,1063.0,tRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
Q15022,739.0,ncRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,5,0,6,0,7,0,8,-1,0.0
Q8N8U3,475.0,unknown,LCRFinder,0,2,0,2,0,3,0,3,3,4,0,5,2,6,2,7,4,8,2,0.6832075485114619
O75643,2136.0,snRNA,LCRFinder,1,2,2,2,2,3,1,3,3,4,1,5,1,6,1,7,1,8,-1,0.0
Q8N2A8,252.0,ncRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,6,4,2,4,2,5,4,6,-1,0.0
Q5PRF9,694.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
O94762,991.0,unknown,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q7Z6E9,1792.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,1,4,1,4,1,5,1,6,-1,0.0
Q9Y3T9,749.0,pre-rRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,0.8288863137420988
Q96I24,572.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
P19338,710.0,snoRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q96E39,390.0,mRNA,LCRFinder,1,2,1,2,3,3,0,3,3,4,3,5,3,6,3,7,3,8,-1,0.0
Q13435,895.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q8NC26,417.0,unknown,LCRFinder,0,2,0,2,0,3,3,3,5,3,5,3,0,3,5,4,5,5,-1,0.0
Q96BK5,328.0,ncRNA,LCRFinder,1,2,1,2,1,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q7KZ85,1726.0,mRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q15910,746.0,ncRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q8NAF0,562.0,unknown,LCRFinder,1,2,1,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q9Y6M1,599.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,0,4,0,5,2,6,-1,0.0
Q9Y2Z4,477.0,tRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,0,1.0
Q6ZP01,1051.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,2,4,2,5,4,6,-1,0.0
Q15050,365.0,pre-rRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q07864,2286.0,unknown,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,1.0
Q9H9L3,353.0,pre-rRNA,LCRFinder,1,2,1,2,1,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q9BWU0,742.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q8TDD1,881.0,pre-rRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q96MX3,618.0,unknown,LCRFinder,0,2,0,2,3,3,3,3,3,4,6,5,0,6,0,7,2,8,-1,0.0
Q7Z7H8,261.0,ribosomal protein,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q8WWY3,499.0,snRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,0.9579109794655432
Q02040,695.0,mRNA,LCRFinder,1,2,2,2,2,3,3,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
P52272,730.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,2,4,2,5,4,6,-1,0.0
Q92615,738.0,mRNA,LCRFinder,0,2,0,2,3,3,3,3,3,4,3,4,3,4,3,5,0,6,-1,0.0
Q86XZ4,545.0,mRNA,LCRFinder,0,2,0,2,1,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q8NDV7,1962.0,mRNA,LCRFinder,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,3,-1,0.0
Q7Z6J9,526.0,tRNA,LCRFinder,1,2,1,2,3,3,0,3,3,4,3,4,3,4,3,5,3,6,-1,0.0
Q6P9B9,1019.0,snRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,2,4,2,5,4,6,-1,0.0
Q9NRA8,985.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q9UBC3,853.0,diverse,LCRFinder,1,2,2,2,2,3,3,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
O94992,359.0,ncRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
P98175,930.0,mRNA,LCRFinder,1,2,2,2,2,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
A4D1E1,1349.0,unknown,LCRFinder,0,2,0,2,1,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q9Y295,367.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,0,4,0,5,2,6,2,0.6569304437634435
Q53H54,448.0,tRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,0,1.0
Q6ZN04,569.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,0,6,-1,0.0
Q9UJV9,622.0,mRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,0.8591745709875428
B0QYK0,618.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q14147,1143.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q8N5A5,531.0,unknown,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q8IYY4,767.0,mRNA,LCRFinder,1,2,2,2,0,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q9NUL7,540.0,pre-rRNA,LCRFinder,0,2,0,2,3,3,4,3,4,4,3,4,3,4,3,5,3,6,-1,0.0
Q9H0L4,616.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,2,4,2,5,4,6,2,0.7092859349475881
Q00577,322.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,5,3,6,3,7,3,8,-1,0.0
F8W6I7,307.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,3,4,3,5,0,6,-1,0.0
P52815,198.0,ribosomal protein,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,0.7406443729667995
Q7Z4G4,463.0,tRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
Q8WXA9,508.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,1,5,1,6,8,7,8,8,-1,0.0
Q2NKX8,1250.0,unknown,LCRFinder,0,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
O75533,1304.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,6,5,6,6,6,7,6,8,-1,0.0
Q9BZC1,486.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,0,4,0,5,2,6,-1,0.0
Q92973,898.0,mRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q6PKG0,1096.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
O15523,660.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
O43143,795.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,1,5,1,6,1,7,1,8,-1,0.0
Q13523,1007.0,snRNA,LCRFinder,1,2,1,2,1,3,1,3,3,3,1,3,1,3,8,4,8,4,-1,0.0
P82979,210.0,mRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q8N3Z6,543.0,diverse,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q8WU90,426.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9Y388,322.0,mRNA,LCRFinder,1,2,1,2,3,3,3,3,1,3,5,3,5,3,8,4,8,4,-1,0.0
Q14684,758.0,pre-rRNA,LCRFinder,1,2,1,2,1,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q86U06,439.0,mRNA,LCRFinder,1,2,1,2,3,3,3,3,3,4,3,4,3,4,8,5,8,6,-1,0.0
Q9BV44,507.0,tRNA,LCRFinder,0,2,0,2,2,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q8TBZ8,553.0,unknown,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,-1,0.0
Q17RN3,349.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,5,3,1,3,1,3,5,4,5,5,-1,0.0
P06748,294.0,pre-rRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q13485,552.0,ncRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,-1,0.0
Q969H6,163.0,ncRNA,LCRFinder,1,2,2,2,2,3,1,3,1,4,6,5,6,6,6,7,6,8,-1,0.0
P60323,173.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,5,3,6,3,7,3,8,-1,0.0
P52756,815.0,mRNA,LCRFinder,0,2,0,2,3,3,4,3,4,4,3,5,3,6,3,7,3,8,-1,0.0
H7BXY3,1166.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,6,5,6,6,6,7,6,8,-1,0.0
Q04637,1599.0,mRNA,LCRFinder,0,1,0,1,0,2,4,2,3,2,6,2,6,2,6,3,6,3,-1,0.0
Q9UPY3,1922.0,ncRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
P49761,490.0,mRNA,LCRFinder,0,2,0,2,3,3,3,3,3,3,5,3,0,3,8,4,8,4,-1,0.0
Q5T619,568.0,unknown,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q6ZN17,250.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q96MT3,831.0,unknown,LCRFinder,0,2,0,2,3,3,3,3,3,4,5,4,5,4,0,5,5,6,-1,0.0
Q9UJV8,347.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,3,4,3,5,3,6,2,0.605849537630363
Q14157,1087.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q5T9H5,84.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,0,4,0,5,2,6,2,0.6220536501811476
P05386,114.0,ribosomal protein,LCRFinder,0,2,2,2,2,3,0,3,3,4,6,5,0,6,0,7,2,8,-1,0.0
Q9NR30,783.0,pre-rRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q8TEX9,1081.0,mRNA,LCRFinder,1,2,1,2,3,3,4,3,4,4,6,4,6,4,6,5,6,6,-1,0.0
P22626,353.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,3,4,3,5,0,6,-1,0.0
Q7KZF4,910.0,mRNA,LCRFinder,0,2,2,2,2,3,4,3,4,4,6,5,6,6,6,7,6,8,-1,0.0
Q8NHU6,1098.0,mRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q8NI27,1593.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q8IWR0,971.0,unknown,LCRFinder,0,2,0,2,0,3,4,3,4,4,6,5,6,6,6,7,6,8,-1,0.0
Q03468,1493.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q13283,466.0,mRNA,LCRFinder,1,2,2,2,1,3,1,3,3,4,1,5,1,6,1,7,1,8,-1,0.0
Q9HAU5,1272.0,mRNA,LCRFinder,1,2,1,2,1,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
J3KP02,692.0,unknown,LCRFinder,1,2,2,2,2,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q14204,4646.0,mRNA,LCRFinder,0,2,0,2,3,3,4,3,4,4,0,4,3,4,3,5,3,6,-1,0.0
P18583,2426.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,3,6,3,6,3,6,4,6,5,-1,0.0
P26599,557.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,-1,0.0
Q6NZI2,390.0,pre-rRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,0.7457348130483887
P23246,707.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
P78362,688.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q32P51,320.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,3,4,3,5,0,6,-1,0.0
O00410,1097.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,2,4,2,5,4,6,-1,0.0
Q12904,312.0,tRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9HCS7,855.0,mRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q92879,486.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
O75179,2603.0,unknown,LCRFinder,1,1,1,1,1,2,1,2,1,2,6,2,6,2,6,2,6,2,-1,0.0
Q6P2E9,1401.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,6,5,2,6,2,7,4,8,-1,0.0
Q9H4L7,1026.0,unknown,LCRFinder,0,2,0,2,3,3,3,3,3,3,5,3,5,3,8,4,8,5,-1,0.0
Q9UGY1,213.0,pre-rRNA,LCRFinder,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,4,1,5,-1,0.0
Q86XP3,938.0,mRNA,LCRFinder,0,2,0,2,2,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
B0QYY4,370.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,5,3,6,3,7,3,8,-1,0.0
P26358,1616.0,ncRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9NV66,732.0,tRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,0.9194241575403685
Q9NTZ6,932.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
Q9UN86,482.0,mRNA,LCRFinder,1,2,2,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9BXY0,300.0,pre-rRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q9H7N4,1312.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,1,4,1,4,8,5,0,6,-1,0.0
P36776,959.0,diverse,LCRFinder,0,2,0,2,0,3,4,3,4,4,6,5,2,6,2,7,4,8,-1,0.0
Q8IWZ3,2542.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,1,4,6,5,6,6,6,7,6,8,-1,0.0
P55884,814.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
P11387,765.0,unknown,LCRFinder,1,2,2,2,2,3,1,3,5,4,1,5,1,6,5,7,5,8,-1,0.0
Q96P70,1041.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
P49760,499.0,mRNA,LCRFinder,0,2,2,2,3,3,3,3,3,3,5,3,5,3,8,4,8,5,-1,0.0
Q12905,390.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q86Y13,1208.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,6,5,6,6,6,7,6,8,-1,0.0
Q9UPR3,1016.0,mRNA,LCRFinder,1,2,1,2,3,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q9UQ84,846.0,diverse,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,0.6838657661803905
Q9H583,2144.0,snoRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,5,7,6,7,7,7,8,-1,0.0
P09874,1014.0,mRNA,LCRFinder,0,2,0,2,1,3,1,3,1,4,1,4,1,4,1,5,1,6,-1,0.0
P07814,1512.0,tRNA,LCRFinder,1,2,1,2,1,3,1,3,5,4,1,5,1,6,5,7,5,8,-1,0.0
Q9NVH2,962.0,snRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,0,4,0,5,0,6,-1,0.0
Q9UPN6,1271.0,mRNA,LCRFinder,1,2,1,2,3,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
P12270,2363.0,mRNA,LCRFinder,1,2,2,2,2,3,1,3,3,4,1,5,1,6,1,7,1,8,-1,0.0
Q5T5J6,900.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
Q7Z2T5,733.0,tRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,2,0.6229964666065987
Q08211,1270.0,ncRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q5TC82,1133.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,1.0
Q9NR48,2969.0,ncRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
P55265,1226.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,0,4,0,5,2,6,-1,0.0
Q9Y3Y2,248.0,mRNA,LCRFinder,0,2,0,2,3,3,4,3,4,4,3,4,3,4,3,5,3,6,-1,0.0
Q9H0R6,528.0,tRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,-1,0.0
Q14152,1382.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,6,5,6,5,6,6,6,7,-1,0.0
O94874,794.0,unknown,LCRFinder,0,2,0,2,1,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
H9KV63,1113.0,ncRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
